Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
91789,91.789417,0.821978033,0.785680294,-0.170351028,0.0547888651,0
91790,91.790419,0.766373634,0.786181867,-0.169849455,0.0547888651,0
91791,91.791416,0.718021989,0.786627054,-0.169404268,0.0547888651,0
91792,91.792418,0.633406579,0.786641538,-0.169389784,0.0547888651,0
91793,91.793416,0.452893764,0.786576271,-0.169455051,0.0547888651,0
91794,91.794431,0.803443193,0.786382675,-0.169648647,0.0547888651,0
91795,91.795414,0.803443193,0.786382675,-0.169648647,0.0547888651,0
91796,91.796418,1.34659338,0.786358654,-0.169672668,0.0547888651,0
91797,91.797416,1.30307686,0.786446452,-0.16958487,0.0547888651,0
91798,91.798418,0.985567749,0.78615433,-0.169876993,0.0547888651,0
91799,91.799416,0.826007307,0.78615433,-0.169941723,0.0547888651,0
91800,91.800417,1.15721607,0.786089599,-0.170032978,0.0547888651,0
91801,91.801577,0.467399269,0.785784662,-0.168551326,0.0547888651,0
91802,91.802419,0.642271042,0.785784662,-0.16857481,0.0547888651,0
91803,91.803488,0.642271042,0.785761178,-0.168529868,0.0547888651,0
91804,91.804413,0.453699619,0.785806119,-0.168105483,0.0547888651,0
91805,91.805428,0.975091577,0.786230505,-0.167937815,0.0547888651,0
91806,91.806417,0.792161167,0.786398172,-0.167842269,0.0547888651,0
91807,91.807444,0.539926708,0.786493719,-0.167555094,0.0547888651,0
91808,91.808623,0.404542118,0.786970258,-0.16736573,0.0547888651,0
91809,91.809513,0.968644679,0.787117124,-0.167218864,0.0547888651,0
91810,91.810419,0.968644679,0.787117124,-0.167218864,0.0547888651,0
91811,91.811413,0.917069554,0.78732568,-0.167010307,0.0547888651,0
91812,91.812419,1.11692309,0.787355006,-0.166980982,0.0547888651,0
91813,91.813414,0.413406581,0.787492216,-0.166843772,0.0547888651,0
91814,91.814412,0.949303985,0.787616193,-0.166719794,0.0547888651,0
91815,91.815429,0.41501832,0.788041532,-0.166294456,0.0547888651,0
91816,91.816415,1.01619041,0.788310528,-0.16602546,0.0547888651,0
91817,91.817418,0.610842466,0.788348436,-0.165987551,0.0547888651,0
91818,91.818417,0.610842466,0.788629353,-0.165706635,0.0547888651,0
91819,91.819419,0.752673984,0.789057612,-0.165278375,0.0547888651,0
91820,91.820418,0.709963381,0.789814413,-0.164521575,0.0547888651,0
91821,91.821420,0.446446866,0.790476501,-0.163859487,0.0547888651,0
91822,91.822419,0.666446865,0.79085964,-0.163476348,0.0547888651,0
91823,91.823413,1.27487183,0.791189075,-0.163146913,0.0547888651,0
91824,91.824419,0.918681324,0.791232109,-0.163103878,0.0547888651,0
91825,91.825435,0.918681324,0.791091383,-0.163244605,0.0547888651,0
